id,lat,lon,type,source
ZEN0001,-8.843822,-67.253296,Amazon Arch,Peripato2023_Zenodo_10214943
ZEN0002,-11.133333,-66.150000,Amazon Arch,Peripato2023_Zenodo_10214943
ZEN0003,-11.181389,-66.183889,Amazon Arch,Peripato2023_Zenodo_10214943
ZEN0004,-11.224444,-66.238056,Amazon Arch,Peripato2023_Zenodo_10214943
ZEN0005,-11.064444,-66.320278,Amazon Arch,Peripato2023_Zenodo_10214943
ZEN0006,-10.988056,-66.010278,Amazon Arch,Peripato2023_Zenodo_10214943
ZEN0007,-10.973333,-66.014444,Amazon Arch,Peripato2023_Zenodo_10214943
ZEN0008,-11.035833,-66.128611,Amazon Arch,Peripato2023_Zenodo_10214943
ZEN0009,-8.886457,-67.172119,Amazon Arch,Peripato2023_Zenodo_10214943
ZEN0010,-10.306902,-67.220108,Amazon Arch,Peripato2023_Zenodo_10214943
ZEN0011,-10.216468,-67.177322,Amazon Arch,Peripato2023_Zenodo_10214943
ZEN0012,-10.217768,-67.158638,Amazon Arch,Peripato2023_Zenodo_10214943
ZEN0013,-9.872500,-67.533890,Amazon Arch,Peripato2023_Zenodo_10214943
ZEN0014,-9.963056,-67.496941,Amazon Arch,Peripato2023_Zenodo_10214943
ZEN0015,-10.070833,-67.544724,Amazon Arch,Peripato2023_Zenodo_10214943
ZEN0016,-10.295278,-67.652779,Amazon Arch,Peripato2023_Zenodo_10214943
ZEN0017,-9.787222,-67.344170,Amazon Arch,Peripato2023_Zenodo_10214943
ZEN0018,-9.771389,-67.344719,Amazon Arch,Peripato2023_Zenodo_10214943
ZEN0019,-10.079722,-67.571114,Amazon Arch,Peripato2023_Zenodo_10214943
ZEN0020,-10.523973,-67.632858,Amazon Arch,Peripato2023_Zenodo_10214943
ZEN0021,-10.328333,-67.541115,Amazon Arch,Peripato2023_Zenodo_10214943
ZEN0022,-10.433333,-67.566391,Amazon Arch,Peripato2023_Zenodo_10214943
ZEN0023,-10.357224,-67.607498,Amazon Arch,Peripato2023_Zenodo_10214943
ZEN0024,-9.963611,-67.490555,Amazon Arch,Peripato2023_Zenodo_10214943
ZEN0025,-9.696111,-67.916946,Amazon Arch,Peripato2023_Zenodo_10214943
ZEN0026,-9.827778,-67.746948,Amazon Arch,Peripato2023_Zenodo_10214943
ZEN0027,-9.933251,-67.597769,Amazon Arch,Peripato2023_Zenodo_10214943
ZEN0028,-10.051667,-68.185280,Amazon Arch,Peripato2023_Zenodo_10214943
ZEN0029,-10.025000,-67.507225,Amazon Arch,Peripato2023_Zenodo_10214943
ZEN0030,-10.000833,-68.011665,Amazon Arch,Peripato2023_Zenodo_10214943
ZEN0031,-9.978889,-67.673615,Amazon Arch,Peripato2023_Zenodo_10214943
ZEN0032,-9.978019,-67.665207,Amazon Arch,Peripato2023_Zenodo_10214943
ZEN0033,-9.128299,-67.283331,Amazon Arch,Peripato2023_Zenodo_10214943
ZEN0034,-9.121289,-67.277087,Amazon Arch,Peripato2023_Zenodo_10214943
ZEN0035,-9.132850,-67.276495,Amazon Arch,Peripato2023_Zenodo_10214943
ZEN0036,-9.232013,-67.282249,Amazon Arch,Peripato2023_Zenodo_10214943
ZEN0037,-12.285168,-64.317850,Amazon Arch,Peripato2023_Zenodo_10214943
ZEN0038,-12.222443,-63.433891,Amazon Arch,Peripato2023_Zenodo_10214943
ZEN0039,-12.189698,-63.430146,Amazon Arch,Peripato2023_Zenodo_10214943
ZEN0040,-11.613898,-65.138420,Amazon Arch,Peripato2023_Zenodo_10214943
ZEN0041,-12.460069,-64.174540,Amazon Arch,Peripato2023_Zenodo_10214943
ZEN0042,-12.432514,-64.212607,Amazon Arch,Peripato2023_Zenodo_10214943
ZEN0043,-12.437233,-64.335981,Amazon Arch,Peripato2023_Zenodo_10214943
