time_days,flux,flux_err
0.000000,0.99973152,0.00050000
0.002315,1.00029779,0.00050000
0.004630,1.00019675,0.00050000
0.006944,1.00016876,0.00050000
0.009259,1.00004314,0.00050000
0.011574,1.00030952,0.00050000
0.013889,0.99967516,0.00050000
0.016204,0.99996917,0.00050000
0.018519,0.99981679,0.00050000
0.020833,1.00036451,0.00050000
0.023148,1.00009217,0.00050000
0.025463,0.99993331,0.00050000
0.027778,0.99969582,0.00050000
0.030093,0.99996540,0.00050000
0.032407,1.00010530,0.00050000
0.034722,0.99997065,0.00050000
0.037037,1.00076271,0.00050000
0.039352,1.00062627,0.00050000
0.041667,0.99877455,0.00050000
0.043981,0.99919285,0.00050000
0.046296,1.00005719,0.00050000
0.048611,0.99994070,0.00050000
0.050926,1.00026584,0.00050000
0.053241,1.00027490,0.00050000
0.055556,1.00123238,0.00050000
0.057870,0.99962467,0.00050000
0.060185,0.99999909,0.00050000
0.062500,1.00121649,0.00050000
0.064815,1.00052567,0.00050000
0.067130,1.00054106,0.00050000
0.069444,0.99995974,0.00050000
0.071759,0.99939991,0.00050000
0.074074,1.00031489,0.00050000
0.076389,1.00029287,0.00050000
0.078704,0.99963189,0.00050000
0.081019,0.99991116,0.00050000
0.083333,1.00022395,0.00050000
0.085648,0.99979480,0.00050000
0.087963,1.00022523,0.00050000
0.090278,1.00032931,0.00050000
0.092593,1.00030655,0.00050000
0.094907,1.00004280,0.00050000
0.097222,1.00060001,0.00050000
0.099537,1.00075591,0.00050000
0.101852,1.00047793,0.00050000
0.104167,0.99991558,0.00050000
0.106481,1.00069770,0.00050000
0.108796,1.00008833,0.00050000
0.111111,1.00078581,0.00050000
0.113426,0.99981751,0.00050000
0.115741,1.00081781,0.00050000
0.118056,1.00035771,0.00050000
0.120370,0.99975053,0.00050000
0.122685,1.00022512,0.00050000
0.125000,1.00041628,0.00050000
0.127315,1.00053279,0.00050000
0.129630,0.99991245,0.00050000
0.131944,0.99985701,0.00050000
0.134259,1.00051764,0.00050000
0.136574,1.00019162,0.00050000
0.138889,1.00054989,0.00050000
0.141204,1.00081904,0.00050000
0.143519,0.99962203,0.00050000
0.145833,1.00058075,0.00050000
0.148148,1.00107301,0.00050000
0.150463,1.00031905,0.00050000
0.152778,1.00006953,0.00050000
0.155093,1.00085819,0.00050000
0.157407,1.00061591,0.00050000
0.159722,1.00094424,0.00050000
0.162037,1.00033080,0.00050000
0.164352,0.99976961,0.00050000
0.166667,1.00046262,0.00050000
0.168981,1.00030181,0.00050000
0.171296,1.00091949,0.00050000
0.173611,1.00063573,0.00050000
0.175926,0.99973058,0.00050000
0.178241,0.99995551,0.00050000
0.180556,1.00100207,0.00050000
0.182870,1.00090714,0.00050000
0.185185,1.00025421,0.00050000
0.187500,1.00058088,0.00050000
0.189815,1.00081126,0.00050000
0.192130,1.00082974,0.00050000
0.194444,1.00104072,0.00050000
0.196759,1.00073789,0.00050000
0.199074,1.00056929,0.00050000
0.201389,1.00049432,0.00050000
0.203704,1.00115866,0.00050000
0.206019,0.99951240,0.00050000
0.208333,1.00057553,0.00050000
0.210648,1.00066839,0.00050000
0.212963,0.99994624,0.00050000
0.215278,1.00083234,0.00050000
0.217593,1.00034731,0.00050000
0.219907,1.00111118,0.00050000
0.222222,1.00062417,0.00050000
0.224537,1.00102854,0.00050000
0.226852,1.00131039,0.00050000
0.229167,1.00089942,0.00050000
0.231481,1.00027708,0.00050000
0.233796,0.99996477,0.00050000
0.236111,1.00160559,0.00050000
0.238426,1.00068023,0.00050000
0.240741,1.00039856,0.00050000
0.243056,1.00082193,0.00050000
0.245370,1.00066105,0.00050000
0.247685,1.00118978,0.00050000
0.250000,1.00078762,0.00050000
0.252315,1.00078447,0.00050000
0.254630,1.00042725,0.00050000
0.256944,1.00102625,0.00050000
0.259259,1.00028146,0.00050000
0.261574,1.00113825,0.00050000
0.263889,1.00157419,0.00050000
0.266204,1.00005679,0.00050000
0.268519,0.99959292,0.00050000
0.270833,1.00114137,0.00050000
0.273148,1.00211377,0.00050000
0.275463,1.00034624,0.00050000
0.277778,1.00022824,0.00050000
0.280093,1.00115494,0.00050000
0.282407,1.00044697,0.00050000
0.284722,1.00062118,0.00050000
0.287037,1.00070699,0.00050000
0.289352,1.00115390,0.00050000
0.291667,1.00069209,0.00050000
0.293981,1.00104052,0.00050000
0.296296,1.00082014,0.00050000
0.298611,1.00049290,0.00050000
0.300926,1.00076214,0.00050000
0.303241,1.00045366,0.00050000
0.305556,1.00093893,0.00050000
0.307870,1.00038054,0.00050000
0.310185,1.00040281,0.00050000
0.312500,1.00168453,0.00050000
0.314815,1.00093624,0.00050000
0.317130,1.00094265,0.00050000
0.319444,1.00123214,0.00050000
0.321759,1.00077270,0.00050000
0.324074,1.00087561,0.00050000
0.326389,1.00120920,0.00050000
0.328704,1.00114457,0.00050000
0.331019,1.00043045,0.00050000
0.333333,1.00143350,0.00050000
0.335648,1.00072833,0.00050000
0.337963,1.00050222,0.00050000
0.340278,1.00058672,0.00050000
0.342593,1.00084839,0.00050000
0.344907,1.00186400,0.00050000
0.347222,1.00046926,0.00050000
0.349537,1.00114375,0.00050000
0.351852,1.00000146,0.00050000
0.354167,1.00107625,0.00050000
0.356481,1.00153347,0.00050000
0.358796,1.00097201,0.00050000
0.361111,1.00078230,0.00050000
0.363426,1.00121936,0.00050000
0.365741,1.00146031,0.00050000
0.368056,1.00144868,0.00050000
0.370370,1.00210969,0.00050000
0.372685,1.00123464,0.00050000
0.375000,1.00084044,0.00050000
0.377315,1.00108024,0.00050000
0.379630,1.00111356,0.00050000
0.381944,1.00121075,0.00050000
0.384259,1.00114793,0.00050000
0.386574,1.00125648,0.00050000
0.388889,1.00034062,0.00050000
0.391204,1.00159739,0.00050000
0.393519,1.00090174,0.00050000
0.395833,1.00060905,0.00050000
0.398148,1.00152102,0.00050000
0.400463,1.00186731,0.00050000
0.402778,1.00146166,0.00050000
0.405093,1.00130221,0.00050000
0.407407,1.00076200,0.00050000
0.409722,1.00267037,0.00050000
0.412037,1.00168117,0.00050000
0.414352,1.00067785,0.00050000
0.416667,1.00086413,0.00050000
0.418981,1.00130387,0.00050000
