time_days,flux,flux_err
0.000000,0.97063244,0.00050000
0.002315,0.97047488,0.00050000
0.004630,0.96968977,0.00050000
0.006944,0.96943289,0.00050000
0.009259,0.96975986,0.00050000
0.011574,0.97009771,0.00050000
0.013889,0.96896553,0.00050000
0.016204,0.97000256,0.00050000
0.018519,0.96951989,0.00050000
0.020833,0.96978447,0.00050000
0.023148,0.96989110,0.00050000
0.025463,0.97001708,0.00050000
0.027778,0.97038553,0.00050000
0.030093,0.97070688,0.00050000
0.032407,0.97015427,0.00050000
0.034722,0.97089467,0.00050000
0.037037,0.96992460,0.00050000
0.039352,0.97043296,0.00050000
0.041667,0.97071588,0.00050000
0.043981,0.97033847,0.00050000
0.046296,0.96994741,0.00050000
0.048611,0.96987607,0.00050000
0.050926,0.97011617,0.00050000
0.053241,0.97045997,0.00050000
0.055556,0.96987847,0.00050000
0.057870,0.97028159,0.00050000
0.060185,0.97032067,0.00050000
0.062500,0.97067501,0.00050000
0.064815,0.97053156,0.00050000
0.067130,0.97061449,0.00050000
0.069444,0.97013966,0.00050000
0.071759,0.97040847,0.00050000
0.074074,0.97086606,0.00050000
0.076389,0.97122458,0.00050000
0.078704,0.96990399,0.00050000
0.081019,0.97126318,0.00050000
0.083333,0.97119590,0.00050000
0.085648,0.97093624,0.00050000
0.087963,0.97069964,0.00050000
0.090278,0.97043312,0.00050000
0.092593,0.97130643,0.00050000
0.094907,0.97156385,0.00050000
0.097222,0.97150067,0.00050000
0.099537,0.97127837,0.00050000
0.101852,0.97082746,0.00050000
0.104167,0.97008158,0.00050000
0.106481,0.97067886,0.00050000
0.108796,0.97101271,0.00050000
0.111111,0.97008268,0.00050000
0.113426,0.97091228,0.00050000
0.115741,0.97094215,0.00050000
0.118056,0.97108417,0.00050000
0.120370,0.97018510,0.00050000
0.122685,0.97045119,0.00050000
0.125000,0.97057305,0.00050000
0.127315,0.97022987,0.00050000
0.129630,0.97165321,0.00050000
0.131944,0.97058138,0.00050000
0.134259,0.97099362,0.00050000
0.136574,0.97072072,0.00050000
0.138889,0.97162605,0.00050000
0.141204,0.97151027,0.00050000
0.143519,0.97118878,0.00050000
0.145833,0.96982448,0.00050000
0.148148,0.97092989,0.00050000
0.150463,0.97124758,0.00050000
0.152778,0.97141414,0.00050000
0.155093,0.97063862,0.00050000
0.157407,0.97183295,0.00050000
0.159722,0.97031970,0.00050000
0.162037,0.97064998,0.00050000
0.164352,0.97143489,0.00050000
0.166667,0.97101562,0.00050000
0.168981,0.97197330,0.00050000
0.171296,0.97110374,0.00050000
0.173611,0.97071525,0.00050000
0.175926,0.97084912,0.00050000
0.178241,0.97051279,0.00050000
0.180556,0.97043193,0.00050000
0.182870,0.97136683,0.00050000
0.185185,0.97135227,0.00050000
0.187500,0.97170745,0.00050000
0.189815,0.97072264,0.00050000
0.192130,0.97191674,0.00050000
0.194444,0.97096688,0.00050000
0.196759,0.97187844,0.00050000
0.199074,0.97091339,0.00050000
0.201389,0.97077487,0.00050000
0.203704,0.97126086,0.00050000
0.206019,0.97164795,0.00050000
0.208333,0.97123361,0.00050000
0.210648,0.97087921,0.00050000
0.212963,0.97052021,0.00050000
0.215278,0.97049832,0.00050000
0.217593,0.97142906,0.00050000
0.219907,0.97167230,0.00050000
0.222222,0.97111949,0.00050000
0.224537,0.97068482,0.00050000
0.226852,0.97163586,0.00050000
0.229167,0.97059783,0.00050000
0.231481,0.97087921,0.00050000
0.233796,0.97153230,0.00050000
0.236111,0.97014568,0.00050000
0.238426,0.97143011,0.00050000
0.240741,0.97096619,0.00050000
0.243056,0.97130667,0.00050000
0.245370,0.97122218,0.00050000
0.247685,0.97136197,0.00050000
0.250000,0.97160550,0.00050000
0.252315,0.97090573,0.00050000
0.254630,0.97196726,0.00050000
0.256944,0.97163461,0.00050000
0.259259,0.97169586,0.00050000
0.261574,0.97185564,0.00050000
0.263889,0.97167651,0.00050000
0.266204,0.97170759,0.00050000
0.268519,0.97133838,0.00050000
0.270833,0.97061306,0.00050000
0.273148,0.97124271,0.00050000
0.275463,0.97093797,0.00050000
0.277778,0.97062396,0.00050000
0.280093,0.97144197,0.00050000
0.282407,0.97104333,0.00050000
0.284722,0.97082190,0.00050000
0.287037,0.97081760,0.00050000
0.289352,0.97145556,0.00050000
0.291667,0.97150108,0.00050000
0.293981,0.97197009,0.00050000
0.296296,0.97132334,0.00050000
0.298611,0.97183660,0.00050000
0.300926,0.97201245,0.00050000
0.303241,0.97189104,0.00050000
0.305556,0.97018673,0.00050000
0.307870,0.97193032,0.00050000
0.310185,0.97149945,0.00050000
0.312500,0.97154042,0.00050000
0.314815,0.97151491,0.00050000
0.317130,0.97152030,0.00050000
0.319444,0.97148921,0.00050000
0.321759,0.97115966,0.00050000
0.324074,0.97041071,0.00050000
0.326389,0.97127928,0.00050000
0.328704,0.97094121,0.00050000
0.331019,0.97185364,0.00050000
0.333333,0.97118827,0.00050000
0.335648,0.97136720,0.00050000
0.337963,0.97091287,0.00050000
0.340278,0.97107532,0.00050000
0.342593,0.97131525,0.00050000
0.344907,0.97059813,0.00050000
0.347222,0.97146189,0.00050000
0.349537,0.97126196,0.00050000
0.351852,0.97073550,0.00050000
0.354167,0.97014444,0.00050000
0.356481,0.97155324,0.00050000
0.358796,0.97115674,0.00050000
0.361111,0.97104051,0.00050000
0.363426,0.97117935,0.00050000
0.365741,0.97217103,0.00050000
0.368056,0.97126187,0.00050000
0.370370,0.97132385,0.00050000
0.372685,0.97055626,0.00050000
0.375000,0.97207193,0.00050000
0.377315,0.97171327,0.00050000
0.379630,0.97178091,0.00050000
0.381944,0.97128156,0.00050000
0.384259,0.97169784,0.00050000
0.386574,0.97142784,0.00050000
0.388889,0.97153983,0.00050000
0.391204,0.97116296,0.00050000
0.393519,0.97051612,0.00050000
0.395833,0.97172398,0.00050000
0.398148,0.97028040,0.00050000
0.400463,0.97109619,0.00050000
0.402778,0.97110692,0.00050000
0.405093,0.97069373,0.00050000
0.407407,0.97149013,0.00050000
0.409722,0.97108870,0.00050000
0.412037,0.97096692,0.00050000
0.414352,0.97142372,0.00050000
0.416667,0.97093310,0.00050000
0.418981,0.97183039,0.00050000
0.421296,0.97131954,0.00050000
0.423611,0.97091124,0.00050000
0.425926,0.97019038,0.00050000
0.428241,0.97049101,0.00050000
0.430556,0.97164415,0.00050000
0.432870,0.97108413,0.00050000
0.435185,0.97096285,0.00050000
0.437500,0.97188850,0.00050000
0.439815,0.97046066,0.00050000
0.442130,0.97078979,0.00050000
0.444444,0.97083558,0.00050000
0.446759,0.97133997,0.00050000
0.449074,0.97072447,0.00050000
0.451389,0.97073934,0.00050000
0.453704,0.97024878,0.00050000
0.456019,0.97137131,0.00050000
0.458333,0.97139873,0.00050000
0.460648,0.97076677,0.00050000
0.462963,0.97106696,0.00050000
0.465278,0.97035062,0.00050000
0.467593,0.97073842,0.00050000
0.469907,0.97162513,0.00050000
0.472222,0.97101211,0.00050000
0.474537,0.97205615,0.00050000
0.476852,0.97054307,0.00050000
0.479167,0.97119542,0.00050000
0.481481,0.97080817,0.00050000
0.483796,0.97116632,0.00050000
0.486111,0.97087720,0.00050000
0.488426,0.97059721,0.00050000
0.490741,0.97043719,0.00050000
0.493056,0.97233350,0.00050000
0.495370,0.97079735,0.00050000
0.497685,0.96984508,0.00050000
0.500000,0.97049679,0.00050000
0.502315,0.97112832,0.00050000
0.504630,0.97054498,0.00050000
0.506944,0.97143522,0.00050000
0.509259,0.97124940,0.00050000
0.511574,0.97067710,0.00050000
0.513889,0.97050963,0.00050000
0.516204,0.97023891,0.00050000
0.518519,0.97037425,0.00050000
0.520833,0.96998669,0.00050000
0.523148,0.97127264,0.00050000
0.525463,0.97144727,0.00050000
0.527778,0.97005375,0.00050000
0.530093,0.97007698,0.00050000
0.532407,0.96977943,0.00050000
0.534722,0.97015668,0.00050000
0.537037,0.96910450,0.00050000
0.539352,0.97004393,0.00050000
0.541667,0.97121374,0.00050000
0.543981,0.97040382,0.00050000
0.546296,0.97097263,0.00050000
0.548611,0.97030763,0.00050000
0.550926,0.97138528,0.00050000
0.553241,0.97061450,0.00050000
0.555556,0.97031908,0.00050000
0.557870,0.97172871,0.00050000
0.560185,0.97031979,0.00050000
0.562500,0.96987121,0.00050000
0.564815,0.97054773,0.00050000
0.567130,0.97041722,0.00050000
0.569444,0.97093945,0.00050000
0.571759,0.96996147,0.00050000
0.574074,0.97078491,0.00050000
0.576389,0.97079432,0.00050000
0.578704,0.97004301,0.00050000
0.581019,0.97043208,0.00050000
0.583333,0.96993603,0.00050000
0.585648,0.97146269,0.00050000
0.587963,0.96996946,0.00050000
0.590278,0.97007721,0.00050000
0.592593,0.96976599,0.00050000
0.594907,0.97010100,0.00050000
0.597222,0.97025196,0.00050000
0.599537,0.97061312,0.00050000
0.601852,0.96993058,0.00050000
0.604167,0.97012249,0.00050000
0.606481,0.96951151,0.00050000
0.608796,0.96978313,0.00050000
0.611111,0.97150690,0.00050000
0.613426,0.97066126,0.00050000
0.615741,0.96976319,0.00050000
0.618056,0.96947947,0.00050000
0.620370,0.96964089,0.00050000
0.622685,0.97008948,0.00050000
0.625000,0.97010281,0.00050000
0.627315,0.96971093,0.00050000
0.629630,0.96943396,0.00050000
0.631944,0.97073382,0.00050000
0.634259,0.97024907,0.00050000
0.636574,0.96983441,0.00050000
0.638889,0.96989514,0.00050000
0.641204,0.96973146,0.00050000
0.643519,0.96855045,0.00050000
0.645833,0.97001671,0.00050000
0.648148,0.96942762,0.00050000
0.650463,0.96944679,0.00050000
0.652778,0.96960885,0.00050000
0.655093,0.97026088,0.00050000
0.657407,0.96932439,0.00050000
0.659722,0.96918289,0.00050000
0.662037,0.97017531,0.00050000
0.664352,0.97021737,0.00050000
0.666667,0.96937299,0.00050000
0.668981,0.97009746,0.00050000
0.671296,0.96966993,0.00050000
0.673611,0.96994423,0.00050000
0.675926,0.96917333,0.00050000
0.678241,0.97017571,0.00050000
0.680556,0.97034225,0.00050000
0.682870,0.97005463,0.00050000
0.685185,0.97000350,0.00050000
0.687500,0.96789027,0.00050000
0.689815,0.96983342,0.00050000
0.692130,0.96968193,0.00050000
0.694444,0.96961029,0.00050000
0.696759,0.96936319,0.00050000
0.699074,0.96968337,0.00050000
0.701389,0.96984397,0.00050000
0.703704,0.96950381,0.00050000
0.706019,0.96939477,0.00050000
0.708333,0.97020374,0.00050000
