RA,DEC,dis_arcsec,img_possi,img_ps
179.35323,3.2664013,11987.10029156,,
180.21892,3.3525023,12094.683641412,,
179.89665,3.5416071,12755.206157543,,
178.91081,3.5646932,13417.83380132,,
179.27632,4.0808454,14919.872432397,,
180.16153,4.406649,15874.569683799,,
183.86795,3.116849,17877.550531742,,
182.90211,4.3330417,18768.891861827,,
184.22426,3.107001,18871.805327465,,
179.0763,5.190389,18978.189478467,,
176.30702,3.839609,19171.570489658,,
181.67384,5.504334,20708.85975534,,
184.55049,3.756836,21234.226933623,,
178.73822,5.960444,21931.427468613,,
177.16357,5.406996,21973.876199287,,
185.57048,2.7475364,22353.478095982,,
179.58502,6.2362924,22500.10676387,,
180.4931,6.396802,23096.521641484,,
185.02197,4.3494887,23904.039357232,,
183.77455,5.6749606,24523.841537392,,
179.2768,6.791329,24586.370221825,,
178.9608,6.8432713,24916.878900896,,
179.14622,6.967491,25269.659981129,,
182.57162,6.7097826,25860.9698924,,
182.57063,6.721368,25898.636583483,,
179.71075,7.4434834,26816.65093797,,
178.48286,7.3596992,27048.966572808,,
178.809,7.4404755,27124.793312867,,
179.12074,7.4885993,27143.095291041,,
173.85892,4.4000196,27179.121104936,,
178.89804,7.5274,27385.820646416,,
182.9095,7.1985726,27941.205096274,,
179.80289,7.7767687,28005.303313628,,
178.89989,7.789876,28320.114230174,,
182.19833,7.654663,28664.169191053,,
172.9157,3.8055928,28933.776570069,,
182.96655,7.5049095,29040.575176918,,
178.19643,8.16796,30108.220348284,,
181.79652,8.357489,30769.404973541,,
178.2589,8.402748,30887.881973276,,
180.25194,8.632825,31091.301614539,,
184.31743,7.523245,31204.364628151,,
183.8103,7.821832,31303.259870884,,
185.45624,6.9042335,31650.260005374,,
184.23003,7.807505,31944.672643316,,
171.65234,3.134344,32086.062252313,,
179.70816,8.982456,32353.764502214,,
173.05661,5.779264,32489.234039773,,
171.73067,3.8615022,32834.942177821,,
179.73509,9.165504,33009.475830246,,
184.09042,8.253269,33138.00722645,,
185.85764,7.406539,33958.000405874,,
178.15462,9.291155,34095.836245868,,
179.75838,9.527896,34311.3511376,,
185.29851,8.039974,34629.450510098,,
170.58292,2.6051302,35163.518267618,,
178.7152,9.763049,35447.083149953,,
178.51048,9.925541,36128.075187515,,
175.1842,8.967749,36610.897602477,,
186.44843,7.89211,36642.997835603,,
169.7113,-2.4813225,38089.969911144,,
172.75014,7.767836,38196.827960308,,
171.90341,7.111008,38737.040755182,,
