Id;Coor_X;Coor_Y;Class;Viewshed_M;Viewshed_Km;Slope;Slope_Av30;Slope_Min30;Slope_Max30;Slope_Av50;Slope_Av50;Slope_Max50;Height;Height_Av30;Height_Min30;Height_Max30;Height_Av50;Height_Min50;Height_Max50;Ori_Terr;Ori_Terr2;Dis_Water;Dis_Gor
1;490528,4;4151535,1;1;1757990;1,75799;12,14;11,22;5,04;19,92;10,92;3,12;22,29;788,03;787,88;784,5;791,36;788,73;779,9;797,24;3;98,45;344,35;787,39
2;493663,47;4148428,54;1;336145;0,336145;37,13;38,51;21,93;56,47;36,85;4,12;74,13;905,99;907,46;894,56;918,11;907,09;872,97;927,6;8;315,7;14,17;766,64
3;495876,74;4146961,05;1;456968;0,456968;14,05;17,74;2,31;39,74;31,28;2,07;103,62;957,44;958,52;955,2;963,32;961,63;927,37;1008,2;2;32,23;78,64;470,79
4;495732,23;4146881,91;1;1498680;1,49868;18,32;27,18;1,65;90,31;34,52;0,5;123,44;1016,4;1015,47;1005,52;1019,09;1010,09;962,44;1020,25;2;38,67;59,03;635,16
5;495832,01;4146730,52;1;2636570;2,63657;9,46;10,65;0,19;30,13;9,74;0,19;30,13;1021,6;1020,55;1015,63;1022,25;1020,86;1013,61;1023,31;7;270,8;28,87;651,25
6;497218,64;4146899,11;1;2162770;2,16277;45,23;38,16;1,79;80,42;41,16;1,58;128,21;1032,16;1028,1;1006,41;1033,6;1020,13;970,47;1034,4;6;243,11;100,15;440,56
7;496152;4146056,12;1;3736030;3,73603;2,52;2,34;1,79;2,69;2,17;1,3;2,78;1034,77;1034,28;1033,59;1035,47;1034,28;1032,62;1036,23;8;319,97;647,31;853,96
8;496165,77;4146042,36;1;4058490;4,05849;2,49;2,31;1,62;2,69;2,13;1,3;2,73;1034,87;1034,7;1033,99;1035,53;1034,64;1033,06;1036,67;8;312,77;642,14;850,38
9;496227,7;4146018,28;1;4798010;4,79801;1,4;1,83;1,32;2,73;2,03;1,32;3,18;1036,58;1036,01;1035,46;1036,67;1035,65;1034,18;1037,35;8;293,46;601,17;815,39
10;496382,53;4145811,83;1;3600420;3,60042;1,24;1,59;0,96;2,44;1,9;0,96;2,64;1040,1;1040,09;1039,52;1040,65;1040,26;1038,67;1041,84;8;317,58;593,28;771,74
11;496558,01;4145786,88;1;1977920;1,97792;3,26;2,85;1,62;3,9;2,38;1,05;3,9;1042,01;1041,88;1040,95;1043;1041,96;1040,05;1043,64;1;16,93;422,1;605,77
12;496081,47;4145183,89;1;3544700;3,5447;2,33;2,28;1,71;3,01;2,36;1,55;3,58;1043,63;1043,52;1043,13;1044,2;1043,2;1041,45;1044,85;8;313,39;495,52;1306,36
13;496043,62;4145061,74;1;1824840;1,82484;2,43;2,47;1,21;3,52;2,61;0,72;3,88;1043,38;1043,19;1042,47;1043,95;1043,54;1041,37;1045,67;1;352,88;382,04;1410,47
14;496308,56;4145092,71;1;3101950;3,10195;2,33;2,2;1,17;3;2,04;1,17;3;1047,98;1047,62;1046,82;1048,34;1047,51;1045,69;1049,63;8;328,08;535,75;1193,11
15;496342,97;4145060,02;1;2959080;2,95908;2,47;2,29;1,17;3,53;2,25;1,17;3,53;1049,63;1048,63;1048,02;1049,63;1048,47;1046,6;1050,37;8;334,84;515,13;1173,05
16;496664,68;4144939,59;1;3115460;3,11546;1,75;1,87;1,11;2,87;2,05;1,11;3,88;1055,22;1054,7;1054;1055,56;1054,78;1053,09;1056,25;8;328;590,91;882,25
17;496857,36;4144910,35;1;3672750;3,67275;1,27;1,48;1,17;2,16;1,75;1,11;3,26;1058,73;1058,1;1057,53;1059,7;1057,97;1056,5;1059,7;8;310,72;661,03;702,5
18;496953,7;4144848,41;1;3080100;3,0801;2,08;1,91;0,78;2,65;1,82;0,78;2,65;1061,08;1060,17;1059,38;1061,63;1060,06;1058,59;1061,68;8;302,19;631,41;634,53
19;496392,86;4144638,53;1;1800720;1,80072;4,05;3,93;3,3;4,81;3,92;2,87;5,18;1055,08;1054,53;1053,34;1055,54;1054,45;1051,27;1057,06;1;345,56;186,04;1232,45
20;496539,09;4144678,1;1;1017890;1,01789;4,1;3,4;1,93;4,44;3,17;1,67;4,81;1055,22;1054,94;1053,65;1056,1;1055,07;1052,43;1057,45;1;319,27;304,63;1082,5
21;496611,35;4144531,86;1;2453000;2,453;4,34;3,82;2,4;4,8;3,48;1,61;4,8;1059,73;1059,27;1058,13;1060,45;1059,48;1056,74;1062,2;6;229,81;210,15;1075,64
22;496697,36;4144499,18;1;2221890;2,22189;3,3;3,34;2,04;4,7;3,19;1,58;5,02;1061,11;1060,85;1059,88;1061,65;1061,26;1058,78;1063,16;8;324,81;227,78;1000,2
23;496759,3;4144645,41;1;2461230;2,46123;2,38;2,67;1,62;3,6;3,03;1,57;4,12;1060,11;1059,28;1058,28;1060,11;1059,75;1057,63;1061,73;1;344,22;386,46;902,18
24;496845,32;4144607,56;1;2427680;2,42768;4,3;3,77;2,58;4,43;3,26;1,48;4,45;1061,95;1061,77;1060,45;1062,97;1061,82;1059,45;1064,26;7;270,79;385,63;831,05
