Id;Coor_X ;Coor_Y;Area;Necrop;Muni;Grid10;Grid50;Cad_Ref;Cad_Pol;Cad_Par;Ort_Cham;Ort_Cov;Corridor;Typo2019;Typo1959;Cham_Len59;Cham_Wid59;Cham_Hei59;Surface59;Volume59;Corr_Len59;Corr_Wid59;Cham_Len19;Cham_Wid19;Cham_Hei19;Surface19;Volume19;Corr_Len19;Corr_Wid19;Viewshed_M;Viewshed_Km;Slope;Slope_Av30;Slope_Min30;Slope_Max30;Slope_Av50;Slope_Min50;Slope_Max50;Height;Height_Av30;Height_Min30;Height_Max30;Height_Av50;Height_Min50;Height_Max50;Ori_Corr;Ori_Corr2;Ori_Terr;Ori_Terr2;Dis_Water;Dis_Gor;Dis_Fardes;Dis_Baul;Topo_Terr;Riverside;Use1870;Use1956;Conserv;Geo;Litho;Gull_Ero;Aeol_Ero
3;490229;4151622;1;1;1;97114;971;18191A00700023;7;23;8;5;1;1;;;;;;;;;2,77;2,6;1,28;7,2;9,21;1,2;0,78;2442780;2,44278;9,19;13,21;2,78;34,61;15,72;0,91;42,28;743,41;743,34;740,88;749,99;744,25;739,59;752,85;4;146;7;272,94;270,98;924,79;327,52;16354,81;1;2;4;1;2;3;1;0;0
4;490196;4151629;1;1;1;97114;971;18191A00700023;7;23;11;3;1;1;1;3,7;2,1;1,85;7,77;14,37;;;3,73;2,3;1,9;8,57;16,3;;;2731210;2,73121;1,73;16,84;0,91;69,35;30,42;0,91;109,32;741,82;740,37;728,56;742,62;737,64;714,61;744,69;4;143;8;335,14;272,74;946,08;293,89;16387,81;1;2;4;1;1;3;1;0;0
5;490217;4151591;1;1;1;97114;971;18191A00700023;7;23;4;1;1;2;1;3;1,85;1,2;5,55;6,66;;;2,1;1,34;0,75;2,81;2,11;;;2530280;2,53028;10,95;14,13;1,42;47,33;30,67;0,91;110,53;741,96;742,2;738,04;746,17;741,64;718,36;753,86;4;141;7;250,62;248,17;953,96;321,4;16353,2;1;2;4;1;1;3;1;0;0
6;490191;4151610;1;1;1;97114;971;18191A00700023;7;23;8;2;1;1;1;;;;;;;;3,8;1,23;;4,67;;;;2802490;2,80249;11,36;31,64;0,91;109,32;39,62;0,91;110,53;741,08;738,39;722,02;742,31;734,43;704,64;744,03;4;120;8;314,07;271,2;961,81;291,96;16384,67;1;2;4;1;1;3;1;0;0
7;490460;4151594;2;1;1;97114;971;18191A00700026;7;26;3;1;1;4;4;;;;;;;;1,8;1,7;;3,06;;;0,54;3318200;3,3182;7,34;10,07;1,3;17,51;9,01;0,91;23,97;788,4;787,1;783,61;789,31;786,09;781,46;789,59;4;116;1;21,92;241,42;783,34;474,74;16132,55;1;2;1;2;2;2;1;0;0
8;490453;4151582;2;1;1;97114;971;18191A00700026;7;26;8;4;1;2;1;;;;;;3,9;2,8;3,6;2,7;;9,72;;1,76;0,97;3252370;3,25237;3,39;9,3;0,91;15,9;8,53;0,91;17,51;789,08;787,65;784,51;789,56;786,77;782,41;789,91;1;0;8;327,44;226,62;797,09;484,28;16134,01;1;2;1;2;2;2;1;0;0
9;490431;4151567;2;1;1;97114;971;18191A00700026;7;26;9;4;1;1;1;5;2,4;1,75;12;21;;;4,95;2,37;1,7;11,73;19,94;;;3334070;3,33407;4,33;6,33;0,91;12,14;7,3;0,91;15,9;789,49;788,74;786,64;789,86;788,14;784,63;790,73;5;162;8;310,66;208,08;822,52;492,46;16147,94;1;2;1;2;1;2;1;0;0
10;490396;4151574;2;1;1;97114;971;18191A00700026;7;26;3;0;1;2;2;;;;;;2,2;1,65;2;1,7;;3,4;;;0,63;3392120;3,39212;6,33;6,22;3,63;8,67;6,03;0,91;11,2;788,05;788,09;786,16;789,8;787,83;784,63;790,26;2;56;1;22,56;201,97;839,31;475,87;16182,75;1;2;1;2;2;2;1;0;0
11;490521;4151082;3;1;1;97114;971;18191A00700028;7;28;10;1;1;2;5;;;;;;;;2,2;1,45;;3,19;;2;1;1656230;1,65623;10,12;8,28;3,04;14,39;9,83;1,34;21,24;820,02;819,11;817,32;820,63;818,61;814,1;822,91;3;110;5;170,13;132,93;1140,61;803,52;15872,78;1;2;1;3;1;1;1;0;0
12;490542;4151072;3;1;1;97114;971;18191A00700028;7;28;1;0;0;;;;;;;;;;;;;;;;;917733;0,917733;10,56;11;3,57;15,84;11,32;3,04;21,14;817,77;817,54;813,93;820,38;816,73;811,43;820,82;4;;4;132,99;124,22;1132,94;826,12;15849,54;1;2;1;3;3;1;1;0;0
