index,delay_s,source,date,observer,location,frequency_mhz,notes
1,0.5,Appleton_1934,1934-01,E_V_Appleton,UK_Switzerland,Various,"Appleton 1934 World Radio Research League experiments; multiple round-world hypothesis"
2,1,Appleton_1934,1934-01,E_V_Appleton,UK_Switzerland,Various,
3,1.5,Appleton_1934,1934-01,E_V_Appleton,UK_Switzerland,Various,
4,2,Appleton_1934,1934-01,E_V_Appleton,UK_Switzerland,Various,
5,3,Appleton_1934,1934-01,E_V_Appleton,UK_Switzerland,Various,
6,4,Appleton_1934,1934-01,E_V_Appleton,UK_Switzerland,Various,
7,5,Appleton_1934,1934-01,E_V_Appleton,UK_Switzerland,Various,
8,6,Appleton_1934,1934-01,E_V_Appleton,UK_Switzerland,Various,
9,7,Appleton_1934,1934-01,E_V_Appleton,UK_Switzerland,Various,
10,8,Appleton_1934,1934-01,E_V_Appleton,UK_Switzerland,Very_frequent_per_Faizullin,
11,9,Appleton_1934,1934-01,E_V_Appleton,UK_Switzerland,Various,
12,10,Appleton_1934,1934-01,E_V_Appleton,UK_Switzerland,Various,
13,11,Appleton_1934,1934-01,E_V_Appleton,UK_Switzerland,Various,
14,12,Appleton_1934,1934-01,E_V_Appleton,UK_Switzerland,Various,
15,13,Appleton_1934,1934-01,E_V_Appleton,UK_Switzerland,Various,
16,14,Appleton_1934,1934-01,E_V_Appleton,UK_Switzerland,Various,
17,15,Appleton_1934,1934-01,E_V_Appleton,UK_Switzerland,Various,
18,16,Appleton_1934,1934-01,E_V_Appleton,UK_Switzerland,Various,
19,17,Appleton_1934,1934-01,E_V_Appleton,UK_Switzerland,Various,
20,18,Appleton_1934,1934-01,E_V_Appleton,UK_Switzerland,Various,
21,19,Appleton_1934,1934-01,E_V_Appleton,UK_Switzerland,Various,
22,20,Appleton_1934,1934-01,E_V_Appleton,UK_Switzerland,Various,
23,21,Appleton_1934,1934-01,E_V_Appleton,UK_Switzerland,Various,
24,22,Appleton_1934,1934-01,E_V_Appleton,UK_Switzerland,Various,
25,23,Appleton_1934,1934-01,E_V_Appleton,UK_Switzerland,Various,
26,24,Appleton_1934,1934-01,E_V_Appleton,UK_Switzerland,Various,
27,25,Appleton_1934,1934-01,E_V_Appleton,UK_Switzerland,Various,
28,26,Appleton_1934,1934-01,E_V_Appleton,UK_Switzerland,Various,
29,27,Appleton_1934,1934-01,E_V_Appleton,UK_Switzerland,Various,
30,28,Appleton_1934,1934-01,E_V_Appleton,UK_Switzerland,Various,
31,29,Appleton_1934,1934-01,E_V_Appleton,UK_Switzerland,Various,
32,30,Appleton_1934,1934-01,E_V_Appleton,UK_Switzerland,Various,
