index,delay_s,source,date,observer,location,frequency_mhz,notes
1,2,Hals_1934,1934-01,Jorgen_Hals,Oslo_Norway,Various,"Hals 1934 World Radio report; delays 2-30s observed 1928-1934"
2,3,Hals_1934,1934-01,Jorgen_Hals,Oslo_Norway,Various,
3,5,Hals_1934,1934-01,Jorgen_Hals,Oslo_Norway,Various,
4,8,Hals_1934,1934-01,Jorgen_Hals,Oslo_Norway,Very_frequent,
5,11,Hals_1934,1934-01,Jorgen_Hals,Oslo_Norway,Various,
6,13,Hals_1934,1934-01,Jorgen_Hals,Oslo_Norway,Various,
7,15,Hals_1934,1934-01,Jorgen_Hals,Oslo_Norway,Various,
8,17,Hals_1934,1934-01,Jorgen_Hals,Oslo_Norway,Various,
9,20,Hals_1934,1934-01,Jorgen_Hals,Oslo_Norway,Various,
10,25,Hals_1934,1934-01,Jorgen_Hals,Oslo_Norway,Various,
11,30,Hals_1934,1934-01,Jorgen_Hals,Oslo_Norway,Various,
