index,delay_s,source,date,observer,location,frequency_mhz,notes
1,8,Stormer_1928,1928-10-11,Carl_Størmer,Oslo_Norway,9.55,"Størmer 1928 Nature 122:681 - 'I noted in seconds the following intervals of time between signals and echo: 8, 11, 15, 8, 13, 3, 8, 8, 8, 12, 15, 13, 8, 8'"
2,11,Stormer_1928,1928-10-11,Carl_Størmer,Oslo_Norway,9.55,
3,15,Stormer_1928,1928-10-11,Carl_Størmer,Oslo_Norway,9.55,
4,8,Stormer_1928,1928-10-11,Carl_Størmer,Oslo_Norway,9.55,
5,13,Stormer_1928,1928-10-11,Carl_Størmer,Oslo_Norway,9.55,
6,3,Stormer_1928,1928-10-11,Carl_Størmer,Oslo_Norway,9.55,"Unique exact repeat of transmitted signal (3 dots); other echoes 2-sec dashes; Lunan 'barrier' at 8s"
7,8,Stormer_1928,1928-10-11,Carl_Størmer,Oslo_Norway,9.55,
8,8,Stormer_1928,1928-10-11,Carl_Størmer,Oslo_Norway,9.55,
9,8,Stormer_1928,1928-10-11,Carl_Størmer,Oslo_Norway,9.55,
10,12,Stormer_1928,1928-10-11,Carl_Størmer,Oslo_Norway,9.55,
11,15,Stormer_1928,1928-10-11,Carl_Størmer,Oslo_Norway,9.55,
12,13,Stormer_1928,1928-10-11,Carl_Størmer,Oslo_Norway,9.55,
13,8,Stormer_1928,1928-10-11,Carl_Størmer,Oslo_Norway,9.55,
14,8,Stormer_1928,1928-10-11,Carl_Størmer,Oslo_Norway,9.55,
15,3,vdPol_1928_oct24,1928-10-24,Balthazar_van_der_Pol,Eindhoven_Netherlands,9.55,"vd Pol 1928 Nature 122:878-879; simultaneous Oslo-Eindhoven"
16,6,vdPol_1928_oct24,1928-10-24,Balthazar_van_der_Pol,Eindhoven_Netherlands,9.55,
17,8,vdPol_1928_oct24,1928-10-24,Balthazar_van_der_Pol,Eindhoven_Netherlands,9.55,
18,9,vdPol_1928_oct24,1928-10-24,Balthazar_van_der_Pol,Eindhoven_Netherlands,9.55,
19,11,vdPol_1928_oct24,1928-10-24,Balthazar_van_der_Pol,Eindhoven_Netherlands,9.55,
20,13,vdPol_1928_oct24,1928-10-24,Balthazar_van_der_Pol,Eindhoven_Netherlands,9.55,
21,14,vdPol_1928_oct24,1928-10-24,Balthazar_van_der_Pol,Eindhoven_Netherlands,9.55,
22,16,vdPol_1928_oct24,1928-10-24,Balthazar_van_der_Pol,Eindhoven_Netherlands,9.55,
23,17,vdPol_1928_oct24,1928-10-24,Balthazar_van_der_Pol,Eindhoven_Netherlands,9.55,
24,18,vdPol_1928_oct24,1928-10-24,Balthazar_van_der_Pol,Eindhoven_Netherlands,9.55,
