index,delay_s,source,date,observer,location,frequency_mhz,notes
1,8,Stormer_1928,1928-10-11,Carl_Størmer,Oslo_Norway,9.55,"Størmer 1928 Nature 122:681 - 'I noted in seconds the following intervals...'; accuracy: stopwatch/second-hand watch"
2,11,Stormer_1928,1928-10-11,Carl_Størmer,Oslo_Norway,9.55,
3,15,Stormer_1928,1928-10-11,Carl_Størmer,Oslo_Norway,9.55,
4,8,Stormer_1928,1928-10-11,Carl_Størmer,Oslo_Norway,9.55,
5,13,Stormer_1928,1928-10-11,Carl_Størmer,Oslo_Norway,9.55,
6,3,Stormer_1928,1928-10-11,Carl_Størmer,Oslo_Norway,9.55,"Unique: exact repeat of transmitted signal (3 dots); Lunan 'barrier' at 8s"
7,8,Stormer_1928,1928-10-11,Carl_Størmer,Oslo_Norway,9.55,
8,8,Stormer_1928,1928-10-11,Carl_Størmer,Oslo_Norway,9.55,
9,8,Stormer_1928,1928-10-11,Carl_Størmer,Oslo_Norway,9.55,
10,12,Stormer_1928,1928-10-11,Carl_Størmer,Oslo_Norway,9.55,
11,15,Stormer_1928,1928-10-11,Carl_Størmer,Oslo_Norway,9.55,
12,13,Stormer_1928,1928-10-11,Carl_Størmer,Oslo_Norway,9.55,
13,8,Stormer_1928,1928-10-11,Carl_Størmer,Oslo_Norway,9.55,
14,8,Stormer_1928,1928-10-11,Carl_Størmer,Oslo_Norway,9.55,
