a_name,b_name,a_symbol,b_symbol,ratio,log10_abs,folded_to_octave,diatonic_note,diatonic_target,cents_error,within_tol_cents_20,integer_ratio,integer_pct_error,on_watchlist,watchlist_reason
alpha_s_MZ,alpha,α_s(M_Z),α,1.615654e+01,1.20835,1.009784,unison (1:1),1.000000,16.8561,True,307/19,-0.0084,False,
sin2_thetaW,alpha,sin²θ_W,α,3.168409e+01,1.50084,1.980256,octave (2:1),2.000000,-17.1758,True,602/19,-0.0004,False,
mp_me,alpha,m_p/m_e,α,2.516190e+05,5.40074,1.919701,major 7th (15:8),1.875000,40.7890,False,251619,0.0000,True,Eddington coincidence (m_p/m_e ~ 6*(1/alpha) ~ 6*137)
Omega_matter,alpha,Ω_m,α,4.320745e+01,1.63556,1.350233,perfect 4th (4:3),1.333333,21.8048,False,821/19,-0.0071,False,
Omega_Lambda,alpha,Ω_Λ,α,9.382855e+01,1.97233,1.466071,perfect 5th (3:2),1.500000,-39.6089,False,563/6,-0.0051,False,
Omega_baryon,alpha,Ω_b,α,6.755875e+00,0.82968,1.688969,major 6th (5:3),1.666667,23.0124,False,27/4,0.0870,False,
n_s,alpha,n_s,α,1.322260e+02,2.12132,1.033016,unison (1:1),1.000000,56.2350,False,1190/9,0.0029,True,Harrison-Zel'dovich / scalar index vs fine-structure
alpha,electron_g-2,α,(g-2)/2,6.292708e+00,0.79884,1.573177,perfect 5th (3:2),1.500000,82.4622,False,107/17,-0.0224,False,
mn_mp,alpha,m_n/m_p,α,1.372249e+02,2.13743,1.072069,major 2nd (9:8),1.125000,-83.4319,False,1235/9,0.0019,False,
m_mu_me,alpha,m_μ/m_e,α,2.833470e+04,4.45232,1.729413,major 6th (5:3),1.666667,63.9799,False,283347/10,-0.0000,False,
m_tau_me,alpha,m_τ/m_e,α,4.764947e+05,5.67806,1.817683,major 7th (15:8),1.875000,-53.7479,False,8576905/18,0.0000,False,
m_tau_mmu,alpha,m_τ/m_μ,α,2.304534e+03,3.36258,1.125261,major 2nd (9:8),1.125000,0.4015,True,34568/15,0.0000,False,
alpha,CMB_dT_T,α,ΔT/T,1.459471e+02,2.16420,1.140211,major 2nd (9:8),1.125000,23.2515,False,2773/19,-0.0002,False,
alpha,epsilon_K_CP,α,ε_K,3.275293e+00,0.51525,1.637646,major 6th (5:3),1.666667,-30.4100,False,59/18,-0.0758,False,
CKM_lambda,alpha,λ,α,3.083310e+01,1.48902,1.927069,major 7th (15:8),1.875000,47.4209,False,185/6,-0.0008,False,
CKM_A,alpha,A,α,1.141510e+02,2.05748,1.783609,major 7th (15:8),1.875000,-86.5093,False,2283/20,0.0009,False,
CKM_rho,alpha,ρ,α,2.192576e+01,1.34095,1.370360,perfect 4th (4:3),1.333333,47.4209,False,285/13,0.0122,False,
CKM_eta,alpha,η,α,4.796260e+01,1.68090,1.498831,perfect 5th (3:2),1.500000,-1.3495,True,959/20,0.0263,False,
PMNS_sin2_12,alpha,sin²θ₁₂_ν,α,4.152191e+01,1.61828,1.297560,perfect 4th (4:3),1.333333,-47.0840,False,789/19,-0.0106,False,
PMNS_sin2_23,alpha,sin²θ₂₃_ν,α,7.838459e+01,1.89423,1.224759,major 3rd (5:4),1.250000,-35.3159,False,1019/13,-0.0000,False,
PMNS_sin2_13,alpha,sin²θ₁₃_ν,α,3.018903e+00,0.47985,1.509452,perfect 5th (3:2),1.500000,10.8743,True,3,0.6301,False,
sin2_thetaW,alpha_s_MZ,sin²θ_W,α_s(M_Z),1.961069e+00,0.29249,1.961069,octave (2:1),2.000000,-34.0319,False,39/20,0.5676,False,
mp_me,alpha_s_MZ,m_p/m_e,α_s(M_Z),1.557381e+04,4.19239,1.901100,major 7th (15:8),1.875000,23.9329,False,249181/16,0.0000,False,
Omega_matter,alpha_s_MZ,Ω_m,α_s(M_Z),2.674300e+00,0.42721,1.337150,perfect 4th (4:3),1.333333,4.9487,True,8/3,0.2863,False,
Omega_Lambda,alpha_s_MZ,Ω_Λ,α_s(M_Z),5.807464e+00,0.76399,1.451866,perfect 5th (3:2),1.500000,-56.4650,False,93/16,-0.0866,False,
alpha_s_MZ,Omega_baryon,α_s(M_Z),Ω_b,2.391481e+00,0.37867,1.195740,major 3rd (5:4),1.250000,-76.8287,False,43/18,0.1085,False,
n_s,alpha_s_MZ,n_s,α_s(M_Z),8.184054e+00,0.91297,1.023007,unison (1:1),1.000000,39.3789,False,90/11,0.0273,False,
alpha_s_MZ,electron_g-2,α_s(M_Z),(g-2)/2,1.016684e+02,2.00719,1.588569,major 6th (5:3),1.666667,-83.0854,False,305/3,0.0017,False,
mn_mp,alpha_s_MZ,m_n/m_p,α_s(M_Z),8.493456e+00,0.92908,1.061682,major 2nd (9:8),1.125000,-100.2880,False,17/2,-0.0770,False,
m_mu_me,alpha_s_MZ,m_μ/m_e,α_s(M_Z),1.753760e+03,3.24397,1.712656,major 6th (5:3),1.666667,47.1238,False,29814/17,-0.0003,False,
m_tau_me,alpha_s_MZ,m_τ/m_e,α_s(M_Z),2.949237e+04,4.46971,1.800071,major 7th (15:8),1.875000,-70.6040,False,560355/19,-0.0000,False,
